T1,T2,CE-Word,IF,Word sim.,Hierarchy,Cite-Wang
0,3,0.000,0.000,0.000,0.000,0.000
0,4,0.004,0.000,0.000,0.017,507.438
0,7,0.340,0.000,0.077,0.213,503.539
0,13,0.000,0.000,0.000,0.000,0.000
0,17,0.004,0.000,0.000,0.163,502.091
0,18,0.000,0.000,0.000,0.000,0.000
0,20,0.000,0.000,0.000,0.000,0.000
0,26,0.000,0.000,0.000,0.000,0.000
0,28,0.000,0.000,0.000,0.000,0.000
0,29,0.000,0.000,0.000,0.000,0.000
0,30,0.000,0.000,0.000,0.000,0.000
0,33,0.000,0.000,0.000,0.000,0.000
0,35,0.000,0.000,0.000,0.000,0.000
0,36,0.004,0.000,0.000,0.053,453.515
0,38,0.004,0.000,0.000,0.050,466.587
0,39,0.000,0.000,0.000,0.000,0.000
0,41,0.004,0.000,0.000,0.050,660.480
0,42,0.004,0.000,0.000,0.010,475.467
0,46,0.000,0.000,0.000,0.000,0.000
0,48,0.000,0.000,0.000,0.000,0.000
0,50,0.000,0.000,0.000,0.000,0.000
0,51,0.004,0.000,0.000,0.030,479.817
0,57,0.000,0.000,0.000,0.000,0.000
0,60,0.000,0.000,0.000,0.000,0.000
0,61,0.000,0.000,0.000,0.000,0.000
0,62,0.000,0.000,0.000,0.000,0.000
0,65,0.000,0.000,0.000,0.000,0.000
0,66,0.004,0.000,0.000,0.030,693.053
0,69,0.000,0.000,0.000,0.000,0.000
0,71,0.000,0.000,0.000,0.000,0.000
0,72,0.004,0.000,0.000,0.053,477.900
0,73,0.000,0.000,0.000,0.000,0.000
0,74,0.004,0.000,0.000,0.017,598.008
0,76,0.004,0.000,0.000,0.010,569.732
0,78,0.015,0.000,0.024,0.330,484.757
0,79,0.000,0.000,0.000,0.000,0.000
0,81,0.000,0.000,0.000,0.000,0.000
0,84,0.000,0.000,0.000,0.000,0.000
0,85,0.000,0.000,0.000,0.000,0.000
0,88,0.000,0.000,0.000,0.000,0.000
0,89,0.000,0.000,0.000,0.000,0.000
0,95,0.000,0.000,0.000,0.000,0.000
0,96,0.000,0.000,0.000,0.000,0.000
0,97,0.004,0.000,0.000,0.030,1850.168
0,101,0.000,0.000,0.000,0.000,0.000
0,104,0.000,0.000,0.000,0.000,0.000
0,105,0.004,0.000,0.000,0.107,484.227
0,106,0.004,0.000,0.000,0.010,547.903
0,176,0.014,0.000,0.024,0.477,472.132
0,201,0.004,0.000,0.000,0.400,500.196
0,229,0.147,0.001,0.077,0.050,592.940
0,292,0.092,0.000,0.050,0.160,834.635
1,2,0.000,0.000,0.000,0.000,0.000
1,65,0.131,0.001,0.077,0.267,630.327
1,97,0.101,0.001,0.077,0.403,1665.143
1,201,0.010,0.000,0.024,0.963,315.172
1,237,0.004,0.001,0.000,0.010,386.216
2,1,0.000,0.000,0.000,0.000,0.000
2,10,0.004,0.000,0.000,0.403,3192.412
2,16,0.000,0.000,0.000,0.000,0.000
2,53,0.000,0.000,0.000,0.000,0.000
2,63,0.000,0.000,0.000,0.000,0.000
2,65,0.000,0.000,0.000,0.000,0.000
2,104,0.000,0.000,0.000,0.000,0.000
2,117,0.000,0.000,0.000,0.000,0.000
2,130,0.000,0.000,0.000,0.000,0.000
2,133,0.000,0.000,0.000,0.000,0.000
2,138,0.000,0.000,0.000,0.000,0.000
2,149,0.000,0.000,0.000,0.000,0.000
2,172,0.000,0.000,0.000,0.000,0.000
2,174,0.000,0.000,0.000,0.000,0.000
2,199,0.000,0.000,0.000,0.000,0.000
2,227,0.000,0.000,0.000,0.000,0.000
2,242,0.000,0.000,0.000,0.000,0.000
2,260,0.000,0.000,0.000,0.000,0.000
2,290,0.000,0.000,0.000,0.000,0.000
2,297,0.000,0.000,0.000,0.000,0.000
3,0,0.000,0.000,0.000,0.000,0.000
4,0,0.004,0.000,0.000,0.017,465.046
4,40,0.004,0.000,0.000,0.023,389.485
4,155,0.004,0.001,0.000,0.693,195.731
4,229,0.000,0.000,0.000,0.000,0.000
5,271,0.000,0.000,0.000,0.000,0.000
6,90,0.039,0.000,0.077,0.030,816.346
6,110,0.110,0.001,0.105,0.160,1016.500
6,168,0.006,0.000,0.077,0.010,1889.126
7,0,0.020,0.000,0.077,0.213,487.563
7,46,0.004,0.000,0.000,0.400,231.301
7,232,0.004,0.000,0.000,0.030,285.956
7,293,0.004,0.000,0.000,0.000,250.068
10,2,0.004,0.000,0.000,0.403,4116.687
10,23,0.004,0.000,0.000,0.037,2084.613
10,25,0.004,0.000,0.000,0.333,4133.810
13,0,0.000,0.000,0.000,0.000,0.000
13,158,0.022,0.000,0.024,0.630,395.423
13,266,0.004,0.000,0.000,0.200,612.279
14,186,0.074,0.000,0.050,0.267,1480.787
14,195,0.004,0.000,0.000,1.120,1157.150
15,99,0.078,0.000,0.050,0.267,920.256
16,2,0.000,0.000,0.000,0.000,0.000
16,25,0.000,0.000,0.000,0.000,0.000
16,82,0.000,0.000,0.000,0.000,0.000
16,172,0.000,0.000,0.000,0.000,0.000
17,0,0.004,0.000,0.000,0.163,452.239
18,0,0.000,0.000,0.000,0.000,0.000
18,169,0.023,0.000,0.024,0.117,545.635
18,284,0.316,0.001,0.105,0.160,361.100
20,0,0.000,0.000,0.000,0.000,0.000
21,148,0.017,0.001,0.024,0.293,389.104
22,117,0.066,0.001,0.050,0.147,1102.575
22,172,0.005,0.000,0.024,0.083,3135.433
22,237,0.004,0.000,0.000,0.333,871.884
22,281,0.004,0.000,0.000,0.040,1916.914
23,10,0.004,0.000,0.000,0.037,2031.725
23,204,0.004,0.000,0.000,0.043,3321.411
25,10,0.004,0.000,0.000,0.333,3395.248
25,16,0.000,0.000,0.000,0.000,0.000
25,82,0.000,0.000,0.000,0.000,0.000
25,119,0.000,0.000,0.000,0.000,0.000
25,172,0.000,0.000,0.000,0.000,0.000
25,260,0.000,0.000,0.000,0.000,0.000
25,261,0.007,0.000,0.024,0.467,2113.534
25,281,0.000,0.000,0.000,0.000,0.000
26,0,0.000,0.000,0.000,0.000,0.000
28,0,0.000,0.000,0.000,0.000,0.000
29,0,0.000,0.000,0.000,0.000,0.000
30,0,0.000,0.000,0.000,0.000,0.000
31,63,0.004,0.000,0.000,0.110,825.676
31,281,0.004,0.000,0.000,0.333,1569.146
32,186,0.004,0.000,0.000,1.280,680.548
32,222,0.013,0.000,0.024,0.403,1655.828
32,287,0.004,0.000,0.000,0.190,1631.150
33,0,0.000,0.000,0.000,0.000,0.000
35,0,0.000,0.000,0.000,0.000,0.000
36,0,0.004,0.000,0.000,0.053,433.875
36,271,0.000,0.000,0.000,0.000,0.000
37,273,0.091,0.001,0.105,0.213,485.145
38,0,0.004,0.000,0.000,0.050,422.930
39,0,0.000,0.000,0.000,0.000,0.000
40,4,0.004,0.000,0.000,0.023,474.778
41,0,0.004,0.000,0.000,0.050,674.954
41,158,0.024,0.001,0.077,0.010,625.708
42,0,0.004,0.000,0.000,0.010,427.546
43,117,0.004,0.000,0.000,0.053,2105.442
43,222,0.004,0.000,0.000,0.000,3183.591
43,245,0.010,0.001,0.024,0.160,2311.467
43,287,0.222,0.000,0.077,0.010,3158.913
44,168,0.098,0.001,0.050,0.653,1577.284
46,0,0.000,0.000,0.000,0.000,0.000
46,7,0.004,0.000,0.000,0.400,216.325
46,60,0.058,0.001,0.050,0.533,190.443
46,251,0.004,0.000,0.000,0.163,239.871
47,260,0.004,0.000,0.000,0.213,5379.930
48,0,0.000,0.000,0.000,0.000,0.000
