Topic,Name
0,Dialogue system
1,Spoken-language system
2,Language model
3,Functional relation
4,Pointing gestures
5,Tokenization
6,Semantic relations & knowledge
7,Tutorial dialogue system
8,Indian language (Hindi)
9,Semantic role labeling
10,Generative models & model selection
11,Abstract syntax & grammatical framework
12,Boosting algorithm
13,Dominance constraints & dominance graphs
14,Tree-adjoining grammar
15,Morphological segmentation
16,Machine transliteration
17,Problem-solving dialogue
18,Negation
19,NLG for clinical trials & binding theory
20,Multi-task learning & plagiarism detection
21,Dependency annotation algorithms & Penn-II Treebank
22,Beam search & other search algorithms
23,Sampling & Zipf's law
24,Selectional preferences
25,Word alignment
26,Memory-based learning
27,Miscellany 1
28,Cultural heritage & extragrammaticality
29,Lexical knowledge base
30,Adjectives & nouns
31,Transduction grammar
32,Link grammar in dependency parsing
33,Gender classification
34,Miscellany 2
35,Miscellany 3
36,Miscellany 4
37,Web pages
38,Domain actions
39,Literary text analysis
40,Spatial referring expressions
41,Semantic parsing & logical forms
42,Context model
43,Penn Treebank data for parsing
44,Lexical substitution
45,Semantic tagging & semantic lexicon
46,Automated essay scoring
47,Term specificity
48,Lexical semantics
49,Miscellany 5
50,Semantic coherence
51,Metonymy resolution
52,Keyphrase extraction
53,Causal relations
54,Minimum description length
55,Machine translation systems
56,Finite-state automata
57,Dependency treebank for emotion classification
58,Qualia structure in lexical semantics
59,Machine translation evaluation
60,Oral proficiency testing
61,Cross-lingual lexical concept mining
62,Miscellany 6
63,Grammar induction
64,Time series
65,Speech recognition
66,Coding scheme
67,Semantic similarity measures
68,Sentence compression
69,Intonation & cue phrases
70,Signatures in typed unification grammar
71,Miscellany 7
72,Dialog acts
73,Human assessment
74,Speech repairs
75,Idiomatic expressions
76,Constraint grammar & (Swiss) German
77,Chinese word segmentation
78,Speech acts
79,"Proceedings of COLING 9 in Nantes, France"
80,Subjective elements in narrative
81,Thai language
82,Parallel corpora for machine translation
83,Sentence boundaries
84,Procedural texts
85,Language generation systems
86,Affect in narrative
87,Speaker & hearer
88,Matrix multiplication method
89,Reference identification
90,Semantic classes
91,Information extraction
92,Verb classes
93,Information retrieval
94,Noun phrases
95,Information graphics
96,Error rates
97,Knowledge-based natural language processing
98,Arabic
99,Morphological analysis
100,Miscellany 8
101,Dialogue system output style
102,Miscellany 9
103,Cross-lingual textual entailment
104,Feature selection and classifiers in machine learning
105,Virtual world
106,Temporal expressions
107,IOB tagging & confidence measures
108,Discourse structure
109,Language identification
110,Machine-readable dictionaries
111,Semantic relation extraction
112,Topic models
113,Systemic grammar
114,Morphological disambiguation
115,Analogical learning
116,Naive Bayes & PCA models
117,"Cube pruning, k-best list, dynamic programming"
118,Multi-document summarization
119,Paraphrase generation
120,Proceedings of the ACL
121,Speech translation
122,Markov logic & first-order logic
123,Hidden Markov models
124,Graph unification
125,N-grams from the Web
126,Gold standard
127,Combinatory categorial grammar
128,Miscellany 10
129,Chat language
130,Stylistic analysis
131,Miscellany 11
132,Tree kernel
133,Miscellany 12
134,Phrase-based machine translation
135,Miscellany 13
136,Miscellany 14
137,Named entity recognition
138,"Document classification, clustering, and categorization"
139,AMI Meeting Corpus
140,Decision detection
141,Crowdsourcing with Amazon Mechanical Turk
142,Word sense induction
143,Miscellany 15
144,Miscellany 16
145,Co-reference
146,Textual entailment
147,Miscellany 17
148,Grammatical function
149,Online stance detection
150,Databases
151,Numerical expressions and world language data
152,Miscellany 18
153,Training and testing data sets
154,Confusion sets
155,Multimodel (speech & gesture) interaction
156,Hyponym & hypernym relations
157,Phonetics & language divergence
158,Logical forms
159,E-mail corpora
160,Relation extraction
161,Metonymic transfer rules & logic
162,Miscellany 19
163,Names & translation
164,RAFT/RAPR focus tracking system
165,Japanese
166,ACL Anthology & XML corpora
167,Coreference resolution
168,Word sense disambiguation
169,Event extraction
170,Objective functions
171,Word order
172,Machine translation models
173,Light verb constructions
174,Genetic algorithms & anaphora resolution
175,Lexical-conceptual tree structures
176,Dialogue modeling
177,Product reviews & opinion words
178,World models
179,Upper model
180,Sign language
181,Discourse Representation Theory
182,Text mining applications
183,Compound functional expressions
184,Word association norms
185,Mental space theory
186,Context-free grammars
187,Categorial grammar / Lambek calculus
188,Collocation
189,Natural language & lexical semantics
190,Relative clauses
191,Natural language generation systems
192,Biomedical text mining
193,Miscellany 20
194,Domain adaptation
195,Inference rules
196,Text input methods
197,Error correction
198,Document structure
199,Classical Chinese
200,Prepositional phrase attachment
201,Air-travel dialogue domain
202,Sentiment analysis
203,Meaning representation
204,Computational linguistics
205,Textual units
206,Lexical entries
207,Miscellany 21
208,Augmented transition network
209,Slot grammar
210,Comparable corpora
211,User interfaces
212,Lexical rules
213,Neural networks
214,Miscellany 22
215,Prosodic features
216,Miscellany 23
217,WMT system combination task
218,Noun countability & generic noun phrases
219,Conjunctive structures
220,Human sentence processing
221,Lexical chains & text segmentation
222,Dependency parsing
223,Question classification
224,Argument interpretation
225,Korean
226,Regular expressions
227,Spanish/Catalan
228,Recall & precision
229,Dialog systems & user satisfaction
230,Miscellany 24
231,Miscellany 25
232,Computational linguistics (discipline)
233,Active learning
234,Social media
235,Medical domain
236,Subordinate clauses
237,Speech recognition error rate
238,Data models for linguistic annotation
239,Constraint satisfaction
240,Transformational grammar
241,Eye tracking
